article_id,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords
1,"Cheng, Jiahao (60126411600)",Corporate corruption governance: the inhibitory effect of digital transformation on fintech,2026,10.1016/j.frl.2026.109474,"Corporate corruption remains a significant challenge to governance and economic stability. This study investigates the efficacy of technological solutions by examining how financial regulatory technology (Fintech), within the broader context of corporate digital transformation, inhibits internal corruption. Using a panel dataset of Chinese publicly listed firms from 2013 to 2023, this study find robust evidence that the adoption of Fintech significantly curtails corruption. Crucially, this deterrent effect is amplified by the firm's digital transformation, indicating a powerful synergy between specific regulatory tools and systemic organizational change. The benefits, however, are not uniform. Heterogeneity analysis reveals that larger firms, with greater resources and more complex structures, derive more significant anti-corruption benefits from Fintech. Furthermore, the moderating effect of digital transformation is most pronounced in firms with high investment levels, which enables a more profound technological integration. These findings highlight that isolated technological solutions are insufficient; rather, a holistic digital strategy is key to enhancing corporate integrity. ? 2026 Published by Elsevier Inc.",Corruption crimes; Digital transformation; Financial regulatory technology,
2,"Zhou, Xiaolong (60417215900); Sun, Xiumei (56139063300); Zhang, Hui (60416849300)",Unlocking Digital Transformation in Industrial Enterprises: Evidence from Technology Finance,2026,10.3390/systems14020207,"In the process of the accelerated evolution of the modern economic system, technology finance is constantly injecting momentum into the digital transformation of industrial enterprises. Using the panel data of Chinese industrial firms listed between 2013 and 2022, this paper examines the impact of technology finance on digital transformation and analyzes the mechanism of their influence. The empirical result shows that technology finance drives digital transformation by reducing corporate equity concentration, enhancing risk-bearing capacity, and reducing internal management costs. Among these factors, equity concentration has the most significant mediating effect, while the role of financing constraints is relatively limited, mainly manifesting as basic support conditions. Commercial credit can promote the enabling effect of technology finance to accelerate the digital transformation of industrial enterprises. In addition, the empowering effect of technology finance is more pronounced in the eastern coastal and central regions, as well as in pilot areas that combine technology and finance. Nonstate-owned enterprises, small and medium-sized enterprises and labor-intensive enterprises all benefit more from technology financing than their counterparts do. These findings have important implications for accelerating the digital transformation of industrial enterprises and promoting the development of technology finance services. ? 2026 by the authors.",digital transformation; industrial enterprises; organizational change; technology finance,Cost reduction; Corporates; Digital analysis; Digital transformation; Economic system; Equity concentration; Industrial enterprise; Organizational change; Panel data; Technology finance; Transformation and analysis; Metadata
3,"Sthapit, Ina (59829462700); Olbina, Svetlana (15729948100)",Digital Twin (DT) and Extended Reality (XR) in the Construction Industry: A Systematic Literature Review,2026,10.3390/buildings16030517,"The construction industry is undergoing a rapid digital transformation, with Digital Twins (DTs) and Extended Reality (XR) as two emerging technologies with great potential. Despite their potential, there are several challenges regarding DT and XR use in construction projects, including implementation barriers, interoperability issues, system complexity, and a lack of standardized frameworks. This study presents a systematic literature review (SLR) of DT and XR technologies—including Virtual Reality (VR), Augmented Reality (AR), and Mixed Reality (MR)—in the construction industry. The study analyzes 52 peer-reviewed articles identified using the Web of Science database to explore thematic findings. Key findings highlight DT and XR applications for safety training, real-time monitoring, predictive maintenance, lifecycle management, renovation or demolition, scenario risk assessment, and education. The SLR also identifies core enabling technologies such as Building Information Modeling (BIM), Internet of Things (IoT), Big Data, and XR devices, while uncovering persistent challenges including interoperability, high implementation costs, and lack of standardization. The study highlights how integrating DTs and XR can improve construction by making it smarter, safer, and more efficient. It also suggests areas for future research to overcome current challenges and help increase the use of these technologies. The primary contribution of this study lies in deepening the understanding of DT and XR technologies by examining them through the lenses of their benefits as well as drivers for and challenges to their adoption. This enhanced understanding provides a foundation for exploring integrated DT and XR applications to advance innovation and efficiency in the construction sector. ? 2026 by the authors.",Augmented Reality (AR); Building Information Modeling (BIM); Digital Twin (DT); Extended Reality (XR); Mixed Reality (MR); Systematic Literature Review (SLR); Virtual Reality (VR),Architectural design; Augmented reality; Big data; Information theory; Interoperability; Life cycle; Mixed reality; Predictive maintenance; Augmented reality; Building information modeling; Building Information Modelling; Digital twin; Extended reality (XR); Mixed reality; Systematic literature review; Virtual reality; Construction industry
4,"Yu, Ming-Miin (7404273246); Lozano, Sebastián (7004141022); See, Kok Fong (53464206000)",Target Setting for the Digital Economy in China: A DEA Bargaining Approach with General Production Network Structure,2026,10.1016/j.omega.2025.103459,"Over the past two decades, China's digital economy (DE) has grown significantly, and this is mainly due to investments in digital infrastructure, technological advancements, and government support. Despite this growth, regional disparities and sustainability challenges persist. This study aims to develop a more realistic and equitable target-setting framework for improving DE performance across provinces in China. We propose a generalized Network Data Envelopment Analysis (NDEA) model with a Nash bargaining mechanism, which allows cooperative optimization of inputs, intermediate products, and outputs among stages and subprocesses within a network production structure. The methodological innovation lies in its ability to capture interdependencies among subprocesses and distinguish between desirable, undesirable, and neutral intermediate products, thereby integrating green development considerations. Our empirical results show substantial improvement potential across provinces, with differentiated targets in areas such as energy consumption, software income, and e-commerce sales. The proposed model not only advances methodological development in the NDEA but also provides policymakers with a practical tool for promoting balanced regional development and sustainable digital transformation in China. ? 2025",Digital economy; Nash bargaining; Network DEA; Target setting,Electronic commerce; Investments; Regional planning; Sustainable development; Bargaining approach; Digital economy; Digital infrastructures; Intermediate product; Nash bargaining; Network data; Network DEA; Network structures; Production network; Target setting; article; cell differentiation; digital transformation; economic aspect; electronic commerce; energy consumption; government; human; infrastructure; investment; land development; software; Data envelopment analysis; Energy utilization
5,"Zhang, Yufeng (40462843500); Wang, Xiaojun (55736800500); Tarba, Shlomo (6503974503); Neely, Andy (7005262436)",Digital transformation through innovation: The human-AI decision spectrum,2026,10.1016/j.technovation.2026.103524,"The rapidly changing and increasingly complex processes enabled by artificial intelligence (AI) applications challenge the conventional concepts of innovation. In contrast to a general perception that AI adoption can augment innovation output, managers still lack empirical guidance on how to structure innovation processes with human-AI interaction across time and space. Drawing on observations from case studies in the aerospace, heavy engineering, information technology, and pharmaceutical sectors, this paper presents the development of a conceptual model for digital innovation to represent (i) Learning Processes (LPs) focusing on knowledge creation and knowledge reuse and (ii) Product Development Processes (PDPs) leading to radical and incremental changes. The conceptual model is inductively developed based on a theory building approach using multiple case studies. A set of transformative characteristics centralized on Originality, Reliability, Transferability, and Adaptability (ORTA) are identified to guide decision-making along multi-stage and cross-layer innovation processes involving cyclical handoffs between humans and machine agents. These ORTA characteristics form a base for strategic decision-making along the Human and AI decision spectrum suited to prepare companies for survival and prosperity in their journeys of digital transformation. ? 2026 The Authors",Case study; Digital transformation; Human-AI decision spectrum; Human-AI interaction; Interviews; ORTA characteristics,"Artificial intelligence; Behavioral research; Computation theory; Engineering education; Knowledge transfer; Case-studies; Conceptual model; Digital transformation; Human-artificial intelligence decision spectrum; Human-artificial intelligence interaction; Innovations process; Intelligence decision; Interview; Originality, reliability, transferability, and adaptability characteristic; Spectra's; Decision making"
6,"Blum, Ethan (59371773700); Dy, Christopher J. (57189586316)",Reimagining nerve injury care through digital twins: A conceptual framework,2026,10.1016/j.cpsurg.2026.101989,[No abstract available],,adult; anatomical variation; Article; axon; benchmarking; biological model; biomechanics; brachial plexus injury; calibration; cardiology; case report; clinical article; clinical decision making; clinical decision support system; clinical examination; clinical practice; comparative study; computer model; computer simulation; conceptual framework; data privacy; demographics; developmental stage; digital twin; disease course; disease severity; dynamometry; early intervention; echography; electromyogram; electromyography; electronic health record; electrophysiology parameters; follow up; goniometry; health care management; health care personnel; health personnel attitude; high volume hospital; human; information processing; information security; multicenter study (topic); muscle denervation; muscle reinnervation; muscle strength; musculoskeletal system examination; nerve compression; nerve conduction; nerve injury; nerve regeneration; nerve transplantation; neurography; neurophysiology; nuclear magnetic resonance imaging; oncology; orthopedics; patient attitude; patient coding; patient compliance; patient counseling; patient-reported outcome; peripheral nerve injury; phenotype; physical functioning; postoperative care; prediction; prognosis; publication; radiological procedures; range of motion; rehabilitation care; reproducibility; sample size; scoring system; social psychology; strength test; surgical technique; tendon transfer; therapy delay; traffic accident; transfer learning (machine learning); trust; upper limb; virtual reality; workflow; young adult; article; conceptual framework; nerve injury
7,"Hoa, Ho Quang (59443261300); Khuong, Nguyen Duc (60513817400); Nhung, Chu Thi Hong (57782962900); Thuy, Tran Le (60512794500)",Developing Artificial Intelligence Competencies in Primary School Teacher Training and Development Through Project-Based Learning,2026,10.36941/jesr-2026-0316,"In the context of accelerating digital transformation in education, developing artificial intelligence (AI) competencies for both pre-service and in-service primary school teachers has become an urgent priority. This study aims to explore the necessity and effectiveness of integrating AI competency development into primary teacher training through Project-Based Learning (PBL). A quantitative survey using a structured questionnaire with a five-point Likert scale was conducted with 702 participants, including teacher educators, pre-service teachers, and school-based mentors. Data were analyzed to assess perceptions, needs, and readiness related to AI-integrated PBL. The results reveal that the vast majority of respondents highly value the importance of enhancing teachers’ capacity to use and apply AI tools in teaching and professional development. Participants expressed strong expectations for diversified and practical training models that combine AI applications with authentic project experiences. Based on these findings, the study proposes an optimized AI-driven PBL model that fosters teacher autonomy, real-time feedback, and adaptive learning personalization. This model emphasizes iterative project design, AI-supported data collection and analysis, and reflective evaluation as core mechanisms for professional growth. The research contributes to the theoretical framework of AI competency development in teacher education by highlighting PBL as an effective pedagogical strategy for bridging AI theory and practice. Implications are drawn for curriculum innovation, teacher training policies, and further empirical studies to validate the AI-integrated PBL model in different educational contexts. ? 2026 Hoa et al.",AI; Artificial Intelligence; primary school; primary school teachers; project-based learning,
8,"Sakhri, Abdelwaheb (60409543900)","Measuring the Contribution of Digital Transformation (Through the Application of Digital Management, Digital Strategy and Digital Culture) to Enhancing Performance of Algerian Economic Enterprises; [???????????? ???? ?????? ?????? ?????? (?? ???? ????? ??????? ???????? ?????]",2026,10.35552/0247.40.3.2561,"Purpose: The background of the research paper was to address Digital Transformation topic, and to know the extent of its possible contribution to enhancing the performance of economic enterprises in Algeria, the study aims to clarify the application of the main dimensions of digital transformation, which are Digital Management, Digital Strategy, and Digital culture, which would work to enhance the quality of work. Methodology: we relied on the descriptive approach to accurately describe the studied phenomenon, the case study approach and the statistical method: The sample included 03 economic enterprises located in the city of Annaba, -Algeria, 100 questionnaires were collected that can be measured statistically, all of the individuals interviewed were mostly specialists and experienced professionals and cadres. Findings: The study reached a variety of results, the most important of which are: Digital transformation works to increase the degree of creativity and innovation within the organization, Digital management contributes to reducing costs and improving Quality of organizations' performance, In addition, following a digital strategy will allow the preparation of ideal development plans, and making the best strategic decisions, employees within enterprises enjoyment of a digital culture creates ideal work behaviour, and facilitates dealing with digital technologies and solutions, which reflects positively on strengthening functional ties. Conclusions: for Algeria, although the economic enterprises under study, and through the answers of the sample members and the results obtained, it was proven that these organisations depend in their activities on the elements of digital transformation, and that it actually contributes to enhancing their performance, But it cannot be said with certainty that Algerian enterprises suffer from weakness of the digital infrastructure, and the fragility of the legal and regulatory frameworks. Recommendations: The study concludes by presenting suggestions, the most prominent of which are the necessity of allocating training and coaching courses to hone human resources skills in the field of digitization, adapting the legal and regulatory aspects in Algeria, and increasing awareness of the importance of the opportunities achieved by digital transformation in the world of finance and business. ? 2026, An-Najah National University All rights reserved.",Algeria; Digital transformation; Economic Enterprises; Enhancing Performance,
9,"Guo, Xinyue (57558482100); Li, Yi (60022808500); Cui, Songyi (57868122300); Zhong, Ray Y. (57222866602)","Digital twin-enabled cooperative autonomous truck platooning framework for modeling, cost estimation, and decision-making in transportation systems",2026,10.1016/j.tre.2025.104596,"Cooperative Autonomous Trucks (CATs) play a critical role in enabling the intelligence and automation of logistics. However, the involvement of multiple carriers, diverse autonomous trucks, and complex transportation environments presents substantial challenges to the large-scale deployment. This study proposes a Digital Twin (DT)-enabled framework for CAT to address these challenges, including transport task synchronization, platoon formation, and revenue estimation. The framework is structured with three interrelated components: (i) a Multiobjective Mixed Integer Programming (MOMIP) model for CATs platooning to optimize task allocation and decision-making, (ii) the DT-enabled kinematic and dynamic models for real-time synchronization and energy estimation, and (iii) real-time control and communication topologies to bridge optimization and practical implementation. A Resource Directive Decomposition (RDD) algorithm is introduced to efficiently solve the MOMIP model by decomposing the problem and applying disjunctive relaxation. Numerical validations show that the RDD algorithm achieves significantly faster convergence than the ?-constraint method when MOMIP has more than two objectives. CATs platoon formations achieve energy savings of approximately 10-14 % compared with historical human-driven trucks, and the proposed adaptive control with DT synchronization effectively ensures safety during emergency braking scenarios. An empirical validation using data from a real-world cross-border construction logistics project demonstrates cost savings and enhanced carrier compatibility. ? 2025 Elsevier Ltd.",Construction logistics; Cooperative autonomous trucks; Cost estimation; Digital twin in transportation; Operational reliability,Adaptive control systems; Automobiles; Behavioral research; Bridges; Decision making; Digital twin; Economics; Energy conservation; Integer programming; Logistics; Multiobjective optimization; Synchronization; Truck transportation; Trucks; Construction logistics; Cooperative autonomous truck; Cost decisions; Cost estimations; Decisions makings; Decomposition algorithm; Digital twin in transportation; Mixed integer programming model; Multi objective; Operational reliability; algorithm; cost analysis; decision making; information system; logistics; modeling; transport vehicle; transportation safety; transportation system; Cost estimating
10,"Mohini C. P., Chandra (60221736900); Raghavendran, V. (58915576900)",DRHAFHNet: Dense resolution high-order attention forward harmonic network-based learning effectiveness of shopfloor employees with digital twin,2026,10.1016/j.bspc.2026.109605,"The quick advances in the field of self-driving vehicles and connected automobiles have increased the commercial worth of automobile applications. Digital Twin is employed as a promising technology to modernize the automotive industry. Moreover, the development of digital twins has offered smart manufacturing systems with knowledge-making capabilities. Hence, the training in a virtual environment minimizes the errors on the shop floor. Still, the extraction of relevant insights to establish the optimal course sequence for the shop floor employees is computationally difficult. To overcome such issues, this paper develops the Dense Resolution High-order Attention Forward Harmonic Network (DRHAFHNet)-based course sequence recommendation for learning the effectiveness of shopfloor employees with a digital twin. The shop floor owner collects the data from the physical space, and the cloud server stores the data from the shop floor owner. The twin manager collects the data from the cloud server and simulates it in the virtual space. The virtual data is stored in the cloud, and the course sequence recommendation is performed by the DRHAFHNet using a digital twin E-learning platform. Moreover, the proposed model attains the Normalized Mean Square Error (MSE), Normalized Mean Absolute Percentage Error (MAPE), Normalized Root MSE (RMSE), Normalized Mean Absolute Percentage (MAP), and latency of 0.334, 0.332, 0.342, 0.299, and 4.99 ms. ? 2026 Elsevier Ltd",Automobile Industry; Deep High-Order Attention Neural Network.; Dense-Resolution Network; Digital Twin; Shop Floor Employees,Automobiles; Commercial vehicles; Digital twin; Engineering education; Errors; Floors; Mean square error; Neural networks; Personnel; Personnel training; Smart manufacturing; Course sequences; Deep high-order attention neural network.; Dense-resolution network; Floor employees; Harmonic networks; High-order; Higher-order; Neural-networks; Shop floor employee; Shopfloors; Article; artificial neural network; automobile industry; autonomous vehicle; cloud computing; controlled study; dense resolution high order attention forward harmonic network; digital twin; employee; feature extraction; information processing; manager; sequence learning; simulation; virtual reality; Automotive industry
